FirstName,LastName,MiddleName,StartDate,EndDate,CreateDate,CreatedBy,ModifiedDate,ModifiedBy,BirthDate,salary,Gender
Pedro,Contreras,I ,03/09/2005,,03/24/2005,asuri,03/24/2005,asuri,03/18/1961,42000,m
Martin,Padilla,J,03/10/2005,,03/25/2005,asuri,03/25/2005,asuri,02/02/1949,92000,m
JESUS,SENCION,K,03/11/2005,,03/26/2005,asuri,03/26/2005,asuri,08/22/1961,81250,m
Karolina,Falowski,L,03/12/2005,,03/27/2005,asuri,03/27/2005,asuri,08/07/1963,31350,f
dane,koteski,A,03/13/2005,,03/28/2005,asuri,03/28/2005,asuri,10/09/1954,29100,m
Veronica,Gonzalez,B,03/14/2005,,03/29/2005,asuri,03/29/2005,asuri,04/27/1962,31350,m
John,Prock,C,03/15/2005,,03/30/2005,asuri,03/30/2005,asuri,06/22/1960,36000,m
jagbir,dosanjh,D,03/16/2005,,03/31/2005,asuri,03/31/2005,asuri,08/28/1933,19200,f
dilbagh,sandhar,E,03/17/2005,,04/01/2005,asuri,04/01/2005,asuri,03/18/1961,23550,f
Pascual,Ontiveros,F,03/18/2005,,04/02/2005,asuri,04/02/2005,asuri,09/23/1960,35100,m
karen,navarrete,G,03/19/2005,,04/03/2005,asuri,04/03/2005,asuri,01/18/1964,23250,m
Will,Crum,H,03/20/2005,,04/04/2005,asuri,04/04/2005,asuri,06/15/1963,29250,m
yusuf,mamedov,I ,03/21/2005,,04/05/2005,asuri,04/05/2005,asuri,08/02/1938,30750,m
Hyung,Han,J,03/22/2005,,04/06/2005,asuri,04/06/2005,asuri,11/18/1940,22350,f
ASHA,MASSEY,K,03/23/2005,,04/07/2005,asuri,04/07/2005,asuri,04/28/1938,30000,f
Jim,McCartney,L,04/02/2005,,04/17/2005,asuri,04/17/2005,asuri,06/07/1947,30750,m
DARELL,RICKER,A,04/12/2005,,04/27/2005,asuri,04/27/2005,asuri,09/16/1958,34800,m
vahagurupal,pummay,B,04/22/2005,,05/07/2005,asuri,05/07/2005,asuri,02/09/1960,60000,m
Fernando,Virgen,C,05/02/2005,,05/17/2005,asuri,05/17/2005,asuri,07/08/1962,35550,m
PARAMVEER,BUAL,D,05/12/2005,,05/27/2005,asuri,05/27/2005,asuri,11/12/1963,45150,m
Victor,Elvira,E,05/22/2005,,06/06/2005,asuri,06/06/2005,asuri,04/21/1954,73750,m
Lambar,Singh,F,06/01/2005,,06/16/2005,asuri,06/16/2005,asuri,06/04/1931,25050,m
surinder,saini,G,06/11/2005,,06/26/2005,asuri,06/26/2005,asuri,06/25/1960,27000,m
Jessica,carr,H,06/21/2005,,07/06/2005,asuri,07/06/2005,asuri,04/16/1962,26850,m
Peter,Tarasyuk,I ,07/01/2005,,07/16/2005,asuri,07/16/2005,asuri,04/15/1963,33900,m
Sandaldeep,Jassar,J,07/11/2005,,07/26/2005,asuri,07/26/2005,asuri,11/14/1964,26400,f
Jennifer,Farringer,K,07/21/2005,,08/05/2005,asuri,08/05/2005,asuri,05/07/1961,28050,m
Andy,Quach,L,07/31/2005,,08/15/2005,asuri,08/15/2005,asuri,02/16/1959,30900,m
MARIO,SALAZAR,D,08/10/2005,,08/25/2005,asuri,08/25/2005,asuri,04/28/1964,22500,m
Art,Gonzales,E,08/20/2005,11/06/2013,09/04/2005,asuri,09/04/2005,asuri,07/18/1962,48000,m
LORENZO,MARQUEZ,F,08/30/2005,11/16/2013,09/14/2005,asuri,09/14/2005,asuri,08/20/1961,55000,m
Jose,Mendoza,G,09/09/2005,11/26/2013,09/24/2005,asuri,09/24/2005,asuri,09/28/1963,53125,m
Pedro,Cruz,H,09/19/2005,12/06/2013,10/04/2005,asuri,10/04/2005,asuri,03/28/1964,21900,m
JASWINDER,BANWAIT,I ,09/29/2005,12/16/2013,10/14/2005,asuri,10/14/2005,asuri,02/16/1962,78125,m
Harb,Lidder,J,10/09/2005,12/26/2013,10/24/2005,asuri,10/24/2005,asuri,05/28/1964,46000,m
CARY,CUNDIFF,K,10/19/2005,01/05/2014,11/03/2005,asuri,11/03/2005,asuri,05/05/1963,45250,m
SEROB,YEGOYAN,L,10/29/2005,01/15/2014,11/13/2005,asuri,11/13/2005,asuri,06/23/1960,56550,m
javier,lopez,A,11/08/2005,01/25/2014,11/23/2005,asuri,11/23/2005,asuri,02/08/1962,41100,m
VICTOR,ALCANTAR,B,11/18/2005,02/04/2014,12/03/2005,asuri,12/03/2005,asuri,08/26/1948,82500,m
Elreno,Adair,C,11/28/2005,02/14/2014,12/13/2005,asuri,12/13/2005,asuri,01/07/1964,54000,f
Doug,Petersen,D,12/08/2005,02/24/2014,12/23/2005,asuri,12/23/2005,asuri,02/09/1968,26400,f
Benjamin,Felix,E,12/18/2005,03/06/2014,01/02/2006,asuri,01/02/2006,asuri,04/28/1933,33900,f
gabriel,caceres,F,12/28/2005,03/16/2014,01/12/2006,asuri,01/12/2006,asuri,08/12/1965,24150,f
Raymond,Hoover,G,01/07/2006,03/26/2014,01/22/2006,asuri,01/22/2006,asuri,09/03/1967,29250,f
cesar,perez,H,01/17/2006,04/05/2014,02/01/2006,asuri,02/01/2006,asuri,09/09/1968,27600,f
Arturo,Carrillo,I ,01/27/2006,04/15/2014,02/11/2006,asuri,02/11/2006,asuri,08/20/1968,22950,f
lucky,singh,J,02/06/2006,04/25/2014,02/21/2006,asuri,02/21/2006,asuri,01/23/1962,34800,f
Martha,Sandino,K,02/26/2006,05/15/2014,03/13/2006,asuri,03/13/2006,asuri,05/25/1961,51000,f
Felix,Flores,L,03/18/2006,06/04/2014,04/02/2006,asuri,04/02/2006,asuri,03/12/1968,24300,f
Kevin,Finta,A,04/07/2006,,04/22/2006,asuri,04/22/2006,asuri,08/28/1947,24750,f
Andres,Mabalot,B,04/27/2006,,05/12/2006,asuri,05/12/2006,asuri,10/12/1967,22950,f
Jeffrey,Chen,C,05/17/2006,,06/01/2006,asuri,06/01/2006,asuri,03/12/1967,25050,f
Ramiro,Garcia ,D,06/06/2006,,06/21/2006,asuri,06/21/2006,asuri,04/09/1962,25950,m
Tronghuy,Pham,E,06/26/2006,,07/11/2006,asuri,07/11/2006,asuri,08/25/1961,31650,m
Joe,Lynch,F,07/16/2006,,07/31/2006,asuri,07/31/2006,asuri,10/20/1959,24150,m
florencio,santos,G,08/05/2006,,08/20/2006,asuri,08/20/2006,asuri,02/10/1962,72500,m
Ivo,Gospodinov,H,08/25/2006,,09/09/2006,asuri,09/09/2006,asuri,06/24/1961,68750,m
Gurminder,Singh,I ,09/14/2006,,09/29/2006,asuri,09/29/2006,asuri,02/27/1938,16200,f
HARPAL,BHATTI,J,10/04/2006,,10/19/2006,asuri,10/19/2006,asuri,11/04/1967,20100,f
patty,gates,K,10/24/2006,,11/08/2006,asuri,11/08/2006,asuri,06/25/1968,24000,f
Ismael,Flores,L,11/13/2006,,11/28/2006,asuri,11/28/2006,asuri,03/05/1968,25950,f
eric,thomas,A,12/03/2006,,12/18/2006,asuri,12/18/2006,asuri,08/04/1950,24600,f
Carol ,Close,B,12/23/2006,,01/07/2007,asuri,01/07/2007,asuri,08/08/1968,28500,f
Darrell,Stafford,C,01/12/2007,,01/27/2007,asuri,01/27/2007,asuri,10/02/1933,30750,m
Jesus,Medina,D,02/01/2007,,02/16/2007,asuri,02/16/2007,asuri,01/18/1953,40200,m
none,crown xpress transport,E,02/21/2007,,03/08/2007,asuri,03/08/2007,asuri,05/17/1956,30000,m
fabiola,rodriguez,F,03/13/2007,,03/28/2007,asuri,03/28/2007,asuri,07/07/1968,22050,f
marlane,delgado,G,04/02/2007,,04/17/2007,asuri,04/17/2007,asuri,10/25/1963,78250,m
Jose ,Cardenas,H,04/22/2007,,05/07/2007,asuri,05/07/2007,asuri,03/14/1960,60625,m
fernando,martins,I ,05/12/2007,,05/27/2007,asuri,05/27/2007,asuri,03/28/1963,39900,m
resad,vukovic,J,06/01/2007,,06/16/2007,asuri,06/16/2007,asuri,03/17/1959,97000,m
Ambrosia,Walker,K,06/21/2007,,07/06/2007,asuri,07/06/2007,asuri,11/05/1962,27450,m
EDWIN,CABRERA,L,07/11/2007,,07/26/2007,asuri,07/26/2007,asuri,03/07/1966,31650,m
Atanas,Chterev,A,07/31/2007,,08/15/2007,asuri,08/15/2007,asuri,08/04/1962,91250,m
Luzia,Fortin,B,08/20/2007,,09/04/2007,asuri,09/04/2007,asuri,08/16/1960,25200,f
Michelle,Wiley,C,09/09/2007,,09/24/2007,asuri,09/24/2007,asuri,07/16/1930,21000,f
Bill,Baker,D,09/29/2007,,10/14/2007,asuri,10/14/2007,asuri,11/10/1963,30450,m
Jeff,Lardent,E,10/19/2007,,11/03/2007,asuri,11/03/2007,asuri,10/29/1952,28350,m
Alex,Chernov,F,11/08/2007,,11/23/2007,asuri,11/23/2007,asuri,11/27/1940,30750,m
Jose Augusto,Aguilar Carazo,G,11/28/2007,,12/13/2007,asuri,12/13/2007,asuri,06/21/1948,30750,m
BALBINDER,DHILLON,H,12/18/2007,,01/02/2008,asuri,01/02/2008,asuri,10/06/1959,54875,m
Rigoberto,Martinez Sanchez ,I ,01/07/2008,,01/22/2008,asuri,01/22/2008,asuri,08/25/1961,37800,m
Lisa,Dahlke,J,01/27/2008,,02/11/2008,asuri,02/11/2008,asuri,05/12/1961,33450,m
jagtar,singh,K,02/16/2008,,03/02/2008,asuri,03/02/2008,asuri,06/09/1962,30300,m
Amanpreet,Kaler,L,03/07/2008,,03/22/2008,asuri,03/22/2008,asuri,01/14/1932,31500,f
lucian,leuca,A,03/27/2008,,04/11/2008,asuri,04/11/2008,asuri,03/04/1964,31650,f
Aram,Titizyan,B,04/16/2008,,05/01/2008,asuri,05/01/2008,asuri,07/23/1963,25200,f
Andy,Schmidt,C,05/06/2008,,05/21/2008,asuri,05/21/2008,asuri,11/12/1964,37800,f
surjit,singh,D,05/26/2008,,06/10/2008,asuri,06/10/2008,asuri,08/06/1936,18750,f
Jorge,Lopez,E,06/15/2008,,06/30/2008,asuri,06/30/2008,asuri,09/26/1965,32550,f
Harry,Iknadosian,F,07/05/2008,,07/20/2008,asuri,07/20/2008,asuri,04/24/1949,33300,f
RANDY ,DOMINGIEZ ,G,07/25/2008,,08/09/2008,asuri,08/09/2008,asuri,05/29/1963,38550,f
Manuel,Lopez,H,08/14/2008,,08/29/2008,asuri,08/29/2008,asuri,08/06/1956,27450,m
Gene,Dent,I ,09/03/2008,,09/18/2008,asuri,09/18/2008,asuri,01/21/1951,24300,m
JORGE,VAZQUEZ,J,09/23/2008,,10/08/2008,asuri,10/08/2008,asuri,09/01/1950,30750,m
DASHAWN,JORDAN,K,10/13/2008,,10/28/2008,asuri,10/28/2008,asuri,07/25/1946,19650,f
shamsher,singh,L,11/02/2008,,11/17/2008,asuri,11/17/2008,asuri,07/18/1959,68750,m
Wade,stephens,D,11/22/2008,,12/07/2008,asuri,12/07/2008,asuri,09/06/1958,59375,m
BALTEJ,DHALIWAL,E,12/12/2008,,12/27/2008,asuri,12/27/2008,asuri,02/08/1962,31500,m
alen,banjic,F,01/01/2009,,01/16/2009,asuri,01/16/2009,asuri,05/17/1953,27300,m
none,GJEXPRESS,G,01/21/2009,,02/05/2009,asuri,02/05/2009,asuri,09/12/1959,27000,m
Glen,Bonnema,H,02/10/2009,,02/25/2009,asuri,02/25/2009,asuri,11/10/1941,41550,f
KHACHIK,MADARIAN,I ,03/02/2009,,03/17/2009,asuri,03/17/2009,asuri,05/22/1968,26250,f
Gizzell,Monterrosa,J,03/22/2009,,04/06/2009,asuri,04/06/2009,asuri,08/25/1939,22200,m
Everett,Anderson,K,04/11/2009,,04/26/2009,asuri,04/26/2009,asuri,07/12/1937,65000,m
saul,gonzalez,L,05/01/2009,,05/16/2009,asuri,05/16/2009,asuri,01/09/1947,30900,m
Eddie, BABAKHANYAN,A,05/21/2009,,06/05/2009,asuri,06/05/2009,asuri,06/18/1931,20100,f
PIERRE,LE BRETON,B,06/10/2009,,06/25/2009,asuri,06/25/2009,asuri,04/05/1965,22350,f
Sukhchain,Singh,C,06/30/2009,,07/15/2009,asuri,07/15/2009,asuri,06/14/1966,35550,f
Jose,Oseguera,D,07/20/2009,,08/04/2009,asuri,08/04/2009,asuri,11/13/1966,28500,f
Manuel Jesus,Echegoyen,E,08/09/2009,,08/24/2009,asuri,08/24/2009,asuri,08/24/1939,24450,f
Salvador,Romero,F,08/29/2009,,09/13/2009,asuri,09/13/2009,asuri,08/28/1931,16650,f
Gil,Mendez,G,09/18/2009,,10/03/2009,asuri,10/03/2009,asuri,01/15/1964,26700,m
FELIPE,VAZQUEZ,H,10/08/2009,,10/23/2009,asuri,10/23/2009,asuri,01/02/1951,43950,m
Kathy,Ivanov,I ,10/28/2009,,11/12/2009,asuri,11/12/2009,asuri,09/11/1936,23700,m
Larry,Robinson,J,11/17/2009,,12/02/2009,asuri,12/02/2009,asuri,10/05/1959,26550,f
Gurjit,Aujla,K,12/07/2009,,12/22/2009,asuri,12/22/2009,asuri,06/28/1962,27600,m
SUSAN,OLVERA,L,12/27/2009,,01/11/2010,asuri,01/11/2010,asuri,03/05/1954,25800,m
VICTOR ,CORTEZ,A,01/16/2010,,01/31/2010,asuri,01/31/2010,asuri,08/16/1954,42300,m
Nickie,Michon,B,02/05/2010,,02/20/2010,asuri,02/20/2010,asuri,05/03/1929,30750,m
Bagga,Rnadhawa,C,02/25/2010,,03/12/2010,asuri,03/12/2010,asuri,05/13/1967,26700,f
Tim,Baumsteiger,D,03/17/2010,,04/01/2010,asuri,04/01/2010,asuri,06/07/1940,20850,f
Phillip,Marshall,E,04/06/2010,,04/21/2010,asuri,04/21/2010,asuri,03/06/1963,35250,m
MARVIN,SUAZO,F,04/26/2010,,05/11/2010,asuri,05/11/2010,asuri,01/12/1963,26700,m
Michael ,Serena,G,05/16/2010,,05/31/2010,asuri,05/31/2010,asuri,07/02/1967,26550,f
Bruce ,Grow,H,06/05/2010,,06/20/2010,asuri,06/20/2010,asuri,09/20/1964,27750,f
Jaime,Olaiz,I ,06/25/2010,,07/10/2010,asuri,07/10/2010,asuri,01/13/1951,25050,f
antonio,mora,J,07/15/2010,,07/30/2010,asuri,07/30/2010,asuri,08/27/1951,66000,m
Sukhchain,bhullar,K,08/04/2010,,08/19/2010,asuri,08/19/2010,asuri,02/11/1963,52650,m
Martin,Rico ,L,08/24/2010,,09/08/2010,asuri,09/08/2010,asuri,05/25/1961,45625,m
Richard,Young,A,09/13/2010,,09/28/2010,asuri,09/28/2010,asuri,11/10/1965,30900,m
Stacey,Ullman,B,10/03/2010,,10/18/2010,asuri,10/18/2010,asuri,08/13/1965,29400,f
dinesh,sharda,C,10/23/2010,01/09/2019,11/07/2010,asuri,11/07/2010,asuri,04/29/1966,33300,f
Serghei,Tulei,D,11/12/2010,,11/27/2010,asuri,11/27/2010,asuri,07/12/1942,21900,f
Gonzalo,Aguilera,E,12/02/2010,,12/17/2010,asuri,12/17/2010,asuri,08/26/1932,18150,f
Juan Manuel,Romero,F,12/22/2010,,01/06/2011,asuri,01/06/2011,asuri,04/23/1962,46875,f
Askar,Lachinov,G,01/11/2011,03/30/2019,01/26/2011,asuri,01/26/2011,asuri,05/23/1965,25500,m
Ilyas,Chakhalidze,H,01/31/2011,,02/15/2011,asuri,02/15/2011,asuri,06/13/1964,26550,m
MANPREET SINGH,MATHARU,I ,02/20/2011,,03/07/2011,asuri,03/07/2011,asuri,01/21/1930,26700,m
mark,mcintyre,J,03/12/2011,,03/27/2011,asuri,03/27/2011,asuri,06/13/1953,29850,f
Aaron,Mosley,K,04/01/2011,,04/16/2011,asuri,04/16/2011,asuri,01/15/1950,69250,m
Sung,Kim,L,04/21/2011,,05/06/2011,asuri,05/06/2011,asuri,01/07/1935,31950,m
Vadim,Kravchuk,A,05/11/2011,,05/26/2011,asuri,05/26/2011,asuri,01/08/1938,26250,m
TONY,CHOUCAIR,B,05/31/2011,,06/15/2011,asuri,06/15/2011,asuri,10/05/1962,35700,f
JOSE,HERRERA,C,06/20/2011,,07/05/2011,asuri,07/05/2011,asuri,08/11/1962,28500,f
KAMAL,SINGH,D,07/10/2011,,07/25/2011,asuri,07/25/2011,asuri,01/17/1938,17100,f
RAFAEL,MARTINEZ,E,07/30/2011,,08/14/2011,asuri,08/14/2011,asuri,01/19/1965,25200,m
James,McMurtry,F,08/19/2011,,09/03/2011,asuri,09/03/2011,asuri,01/23/1960,24000,f
JESUS,RAMOS,G,09/08/2011,,09/23/2011,asuri,09/23/2011,asuri,01/04/1939,27450,f
ranjeet,singh,H,09/28/2011,,10/13/2011,asuri,10/13/2011,asuri,03/08/1943,18450,f
Kathy,Tran,I ,10/18/2011,,11/02/2011,asuri,11/02/2011,asuri,03/01/1960,39300,m
DOUG,BOWER,J,11/07/2011,,11/22/2011,asuri,11/22/2011,asuri,11/05/1964,38850,m
Jose,Carrizalez Jr,K,11/27/2011,,12/12/2011,asuri,12/12/2011,asuri,08/28/1930,30750,m
Mario,Serrano,L,12/17/2011,,01/01/2012,asuri,01/01/2012,asuri,07/06/1964,37500,m
Jenoveva S,De Samudio,A,01/06/2012,,01/21/2012,asuri,01/21/2012,asuri,07/29/1963,58750,m
MICHELLE,UNAMUNO,B,01/26/2012,,02/10/2012,asuri,02/10/2012,asuri,02/04/1934,34500,f
Adrian,Concepcion,C,02/15/2012,05/03/2020,03/01/2012,asuri,03/01/2012,asuri,03/28/1950,36000,f
JACINTO,MARTINEZ,D,03/06/2012,,03/21/2012,asuri,03/21/2012,asuri,11/15/1932,29100,f
jose,pineda,E,03/26/2012,,04/10/2012,asuri,04/10/2012,asuri,10/23/1931,16500,f
mikhail,kolesnikov,F,04/15/2012,,04/30/2012,asuri,04/30/2012,asuri,10/09/1949,19650,m
Volodymyr,Sklyaruk,G,05/05/2012,,05/20/2012,asuri,05/20/2012,asuri,07/22/1966,24750,f
Arturo,Duarte,H,05/25/2012,,06/09/2012,asuri,06/09/2012,asuri,04/10/1938,27150,f
Palwinder,Singh,I ,06/14/2012,,06/29/2012,asuri,06/29/2012,asuri,11/06/1955,26400,f
GILDARDO,CARDENAS,J,07/04/2012,,07/19/2012,asuri,07/19/2012,asuri,03/03/1946,23100,f
ERNESTO,SIGALA,K,07/24/2012,,08/08/2012,asuri,08/08/2012,asuri,10/01/1962,54900,m
ATSUSHI,KAWASAKI,L,08/13/2012,,08/28/2012,asuri,08/28/2012,asuri,03/17/1952,70875,m
waldo,santos,D,09/02/2012,,09/17/2012,asuri,09/17/2012,asuri,02/02/1958,51250,m
Steven,DeMass,E,09/22/2012,,10/07/2012,asuri,10/07/2012,asuri,02/13/1963,67500,m
MYKOLA,NUMCHUK,F,10/12/2012,,10/27/2012,asuri,10/27/2012,asuri,05/08/1955,29340,m
DONG JIN,BYUN,G,11/01/2012,,11/16/2012,asuri,11/16/2012,asuri,03/17/1963,39600,m
Jaime ,Hernandez,H,11/21/2012,,12/06/2012,asuri,12/06/2012,asuri,03/17/1964,29100,m
Sergio,Barby,I ,12/11/2012,,12/26/2012,asuri,12/26/2012,asuri,10/21/1960,33150,m
Chris,Champion,J,12/31/2012,,01/15/2013,asuri,01/15/2013,asuri,06/22/1944,66750,m
martin,ramirez,K,01/20/2013,,02/04/2013,asuri,02/04/2013,asuri,05/22/1943,33750,m
Kelly,Altendorf,L,02/09/2013,,02/24/2013,asuri,02/24/2013,asuri,02/15/1959,27300,m
Freddy ,James,A,03/01/2013,,03/16/2013,asuri,03/16/2013,asuri,11/28/1968,24000,f
lakhbir,hothi,B,03/21/2013,,04/05/2013,asuri,04/05/2013,asuri,01/14/1934,19800,f
ray,taylor,C,04/10/2013,,04/25/2013,asuri,04/25/2013,asuri,05/04/1949,30600,m
Alan,Simonis,D,04/30/2013,,05/15/2013,asuri,05/15/2013,asuri,11/08/1950,28950,m
BOOTA,RATHOUR,E,05/20/2013,,06/04/2013,asuri,06/04/2013,asuri,05/14/1965,38400,m
Onkar,Singh,F,06/09/2013,,06/24/2013,asuri,06/24/2013,asuri,10/20/1945,30750,m
Sergio,Maradiaga,G,06/29/2013,,07/14/2013,asuri,07/14/2013,asuri,09/13/1968,20400,f
dan,krist,H,07/19/2013,,08/03/2013,asuri,08/03/2013,asuri,09/15/1968,19200,f
Ryan,Penaroza,I ,08/08/2013,,08/23/2013,asuri,08/23/2013,asuri,05/16/1964,30150,m
Orlando,Martel Jr.,J,08/28/2013,,09/12/2013,asuri,09/12/2013,asuri,03/15/1949,34620,m
Ronald,Camese,K,09/17/2013,,10/02/2013,asuri,10/02/2013,asuri,03/21/1964,80000,m
Jorge,Rosa,L,10/07/2013,,10/22/2013,asuri,10/22/2013,asuri,02/02/1963,25350,m
Wendy,Bumann,A,10/27/2013,,11/11/2013,asuri,11/11/2013,asuri,08/17/1963,29850,m
DONVU,NGUYEN,B,11/16/2013,,12/01/2013,asuri,12/01/2013,asuri,05/22/1947,24000,f
Raul,Sanchez,C,12/06/2013,,12/21/2013,asuri,12/21/2013,asuri,09/15/1935,27750,f
Bronislav,Futerman,D,12/26/2013,,01/10/2014,asuri,01/10/2014,asuri,03/14/1942,22350,f
TARSEM,SINGH,E,01/15/2014,,01/30/2014,asuri,01/30/2014,asuri,11/20/1934,16200,f
gurmail,singh,F,02/04/2014,,02/19/2014,asuri,02/19/2014,asuri,10/13/1967,21900,f
carlos,flores,G,02/24/2014,,03/11/2014,asuri,03/11/2014,asuri,06/21/1964,23250,f
feliciano,mendoza,H,03/16/2014,,03/31/2014,asuri,03/31/2014,asuri,07/17/1965,33900,f
Jeff,Ni,I ,04/05/2014,,04/20/2014,asuri,04/20/2014,asuri,09/21/1963,25650,f
TEJINDERJIT,HUNDAL,J,04/25/2014,,05/10/2014,asuri,05/10/2014,asuri,08/21/1940,17250,f
GURBAZ,SIDHU,K,05/15/2014,,05/30/2014,asuri,05/30/2014,asuri,02/04/1934,22500,m
allan,huth,L,06/04/2014,,06/19/2014,asuri,06/19/2014,asuri,01/09/1965,40200,m
Curtis,O'Farrell,A,06/24/2014,,07/09/2014,asuri,07/09/2014,asuri,09/13/1963,55500,m
Peter,Amaya,B,06/08/2014,,06/23/2014,asuri,06/23/2014,asuri,07/21/1963,26550,m
Shukri,Kasimov,C,06/28/2014,,07/13/2014,asuri,07/13/2014,asuri,11/12/1960,50550,m
heriberto,perez,D,06/12/2014,,06/27/2014,asuri,06/27/2014,asuri,09/11/1962,75000,m
mario,galeas,E,07/02/2014,,07/17/2014,asuri,07/17/2014,asuri,05/02/1969,27450,f
Viktor,Kurudimov,F,06/16/2014,,07/01/2014,asuri,07/01/2014,asuri,06/04/1969,22650,f
Aurelio,Martins,G,07/06/2014,,07/21/2014,asuri,07/21/2014,asuri,06/15/1969,27300,f
RUBEN S.,CORDOVA,H,06/20/2014,,07/05/2014,asuri,07/05/2014,asuri,09/14/1969,27750,f
JORGE ,ORTIZ,I ,07/10/2014,,07/25/2014,asuri,07/25/2014,asuri,06/15/1961,54375,f
John,Ku,J,06/24/2014,,07/09/2014,asuri,07/09/2014,asuri,08/27/1936,17400,f
JOSEPH,SHINN,K,07/14/2014,,07/29/2014,asuri,07/29/2014,asuri,11/03/1967,40800,f
VLADIMIR,TKACHUK,L,06/28/2014,,07/13/2014,asuri,07/13/2014,asuri,02/10/1969,23100,f
CARLOS HUMBERTO,URRUTIA,A,07/18/2014,,08/02/2014,asuri,08/02/2014,asuri,09/15/1969,22500,f
fuping,feng,B,07/02/2014,,07/17/2014,asuri,07/17/2014,asuri,03/16/1969,26700,f
Luis,Mellado,C,07/22/2014,,08/06/2014,asuri,08/06/2014,asuri,01/14/1968,24900,f
Rick,Armstrong,D,07/06/2014,,07/21/2014,asuri,07/21/2014,asuri,05/13/1968,19650,f
Jose,Portillo,E,07/26/2014,,08/10/2014,asuri,08/10/2014,asuri,04/09/1969,22050,f
Gerardo,Cruz,F,07/10/2014,,07/25/2014,asuri,07/25/2014,asuri,05/09/1969,25500,f
Timothy,Heidelberger,G,07/30/2014,,08/14/2014,asuri,08/14/2014,asuri,10/10/1966,28200,f
Aldin,Ganibegovic,H,07/14/2014,,07/29/2014,asuri,07/29/2014,asuri,01/19/1969,23100,f
